Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Trübutschek, Darinka; Marti, Sebastien; Ojeda, Andres; King, Jean-Remi; Mi, Yuanyuan; Tsodyks, Misha; Dehaene, Stanislas; ",A theory of working memory without consciousness or sustained activity,Elife,6,,e23871,2017,eLife Sciences Publications Limited
"Cecotti, Hubert; Barachant, Alexandre; King, Jean Remi; Bornot, J Sanchez; Prasad, Girijesh; ",Single-trial detection of event-related fields in MEG from the presentation of happy faces: Results of the Biomag 2016 data challenge,2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),,,4467-4470,2017,IEEE
"Gwilliams, Laura; King, Jean-Remi; ",Performance-optimized hierarchical models only partially predict neural responses during perceptual decision making,bioRxiv,,,221630,2017,Cold Spring Harbor Laboratory
"King, Jean-Remi; Wyart, Valentin; ",Tracking the Canonical Computations of Perceptual Processing in a Quasi-Continuous Sensory Flow,BioRxiv,,,232587,2017,Cold Spring Harbor Laboratory
"Barachant, Alexandre; King, Jean-Remi; ",Riemannian Geometry Boosts Representational Similarity Analyses of Dense Neural Time Series,BioRxiv,,,232710,2017,Cold Spring Harbor Laboratory
"Kasdan, Anna; Poeppel, David; King, Jean-Remi; ",Decoding of Auditory Sequences in Working Memory Using Meg,,,,,2017,
"Quentin, Romain; King, Jean-Rémi; Sallard, Etienne; Fishman, Nathan; Buch, Ethan; Thompson, Ryan; Cohen, Leonardo G; ",Tracking Working Memory Content Processing with MEG,,,,,2017,
"Quentin, Romain; King, Jean-Rémi; Sallard, Etienne; Fishman, Nathan; Thompson, Ryan; Buch, Ethan R; Cohen, Leonardo G; ",Differential brain mechanisms of selection and maintenance of information during working memory,Journal of Neuroscience,39,19,3728-3740,2019,Society for Neuroscience
"King, J; Linzen, T; Marantz, Alec; ",Syntactic categories as lexical features or syntactic heads: A MEG approach,Linguistic Inquiry,,,,2016,MIT Press Journals
"King, Jean-Rémi; Gwilliams, Laura; Holdgraf, Chris; Sassenhagen, Jona; Barachant, Alexandre; Engemann, Denis; Larson, Eric; Gramfort, Alexandre; ",Encoding and Decoding Neuronal Dynamics: Methodological Framework to Uncover the Algorithms of Cognition,,,,,2018,
"Gwilliams, Laura; King, Jean-Rémi; ",Perceptual decision making unfolds in a processing cascade within and across brain regions,,,,,,
"Engemann, Denis A; Raimondo, Federico; King, Jean-Remi; Rohaut, Benjamin; Louppe, Gilles; Faugeras, Frédéric; Annen, Jitka; Cassol, Helena; Gosseries, Olivia; Fernandez-Slezak, Diego; ",Robust EEG-based cross-site and cross-protocol classification of states of consciousness,Brain,141,11,3179-3192,2018,Oxford University Press
"King, JR; Gwilliams, L; Holdgraf, C; Sassenhagen, J; Barachant, A; Engemann, D; Larson, E; Gramfort, A; ",Encoding and Decoding Framework to Uncover the Algorithms of Cognition,,,,,,
"Michel, Matthias; Beck, Diane; Block, Ned; Blumenfeld, Hal; Brown, Richard; Carmel, David; Carrasco, Marisa; Chirimuuta, Mazviita; Chun, Marvin; Cleeremans, Axel; ",Opportunities and challenges for a maturing science of consciousness,Nature human behaviour,3,2,104,2019,Nature Publishing Group
"Sitt, Jacobo D; King, Jean-Rémi; Naccache, Lionel; Dehaene, Stanislas; Corballis, Michael C; Shi, Zhuanghua; Church, Russell M; Meck, Warren H; Seth, Anil K; Lee, Hweeling; ",545 Dissociations between faces and words: comment on Behrmann and Plaut 546 Response to Susilo and Duchaine: beyond neuropsychological dissociations in understanding face and word,,,,,,
"Claassen, Jan; Doyle, Kevin; Matory, Adu; Couch, Caroline; Burger, Kelly M; Velazquez, Angela; Okonkwo, Joshua U; King, Jean-Rémi; Park, Soojin; Agarwal, Sachin; ",Detection of Brain Activation in Unresponsive Patients with Acute Brain Injury,New England Journal of Medicine,380,26,2497-2505,2019,Massachusetts Medical Society
"Bourdillon, Pierre; Hermann, Bertrand; Guénot, Marc; Bastuji, Hélène; Isnard, Jean; King, Jean-Rémi; Sitt, Jacobo; Naccache, Lionel; ",Slow cortico-cortical connectivity (2-5Hz) is a new robust signature of conscious states,BioRxiv,,,692970,2019,Cold Spring Harbor Laboratory
"Gwilliams, Laura; King, Jean-Remi; ",Recurrent Processes Emulate a Cascade of Hierarchical Decisions: Evidence from Spatio-Temporal Decoding of Human Brain Activity,bioRxiv,,,840074,2019,Cold Spring Harbor Laboratory
"King, Jean-Remi; Wyart, Valentin; ",The Human Brain encodes a Chronicle of Visual Events at each Instant of Time,BioRxiv,,,846576,2019,Cold Spring Harbor Laboratory
